date,avg
2010-01-01,-2.7
2010-02-01,2.1
2010-03-01,5.3
2010-04-01,10.0
2010-05-01,17.8
2010-06-01,23.4
2010-07-01,25.7
2010-08-01,27.1
2010-09-01,21.9
2010-10-01,14.2
2010-11-01,6.9
2010-12-01,0.1
2011-01-01,-5.7
2011-02-01,1.8
2011-03-01,4.5
2011-04-01,11.6
2011-05-01,18.1
2011-06-01,22.7
2011-07-01,25.7
2011-08-01,25.8
2011-09-01,21.2
2011-10-01,13.5
2011-11-01,11.2
2011-12-01,0.4
2012-01-01,-1.5
2012-02-01,-1.0
2012-03-01,5.7
2012-04-01,13.2
2012-05-01,19.8
2012-06-01,23.8
2012-07-01,26.3
2012-08-01,27.1
2012-09-01,20.6
2012-10-01,14.3
2012-11-01,6.0
2012-12-01,-3.0
2013-01-01,-2.6
2013-02-01,0.0
2013-03-01,6.6
2013-04-01,10.6
2013-05-01,18.8
2013-06-01,23.9
2013-07-01,26.8
2013-08-01,27.8
2013-09-01,21.4
2013-10-01,15.5
2013-11-01,6.7
2013-12-01,1.3
2014-01-01,-0.1
2014-02-01,2.7
2014-03-01,8.3
2014-04-01,14.3
2014-05-01,19.4
2014-06-01,22.9
2014-07-01,25.9
2014-08-01,24.2
2014-09-01,21.6
2014-10-01,14.9
2014-11-01,8.5
2014-12-01,-1.3
2015-01-01,0.0
2015-02-01,1.9
2015-03-01,7.2
2015-04-01,13.3
2015-05-01,19.5
2015-06-01,23.4
2015-07-01,25.4
2015-08-01,26.4
2015-09-01,21.7
2015-10-01,15.5
2015-11-01,10.1
2015-12-01,3.1
2016-01-01,-1.3
2016-02-01,1.5
2016-03-01,7.5
2016-04-01,14.8
2016-05-01,19.8
2016-06-01,23.7
2016-07-01,26.6
2016-08-01,27.9
2016-09-01,22.4
2016-10-01,15.7
2016-11-01,7.2
2016-12-01,2.5
2017-01-01,-0.4
2017-02-01,1.2
2017-03-01,6.8
2017-04-01,14.5
2017-05-01,19.6
2017-06-01,23.3
2017-07-01,27.1
2017-08-01,26.0
2017-09-01,21.1
2017-10-01,15.4
2017-11-01,6.4
2017-12-01,-0.4
2018-01-01,-2.5
2018-02-01,-0.4
2018-03-01,8.7
2018-04-01,13.9
2018-05-01,19.2
2018-06-01,23.6
2018-07-01,27.9
2018-08-01,29.0
2018-09-01,21.2
2018-10-01,13.0
2018-11-01,8.0
2018-12-01,0.6
2019-01-01,0.0
2019-02-01,2.0
2019-03-01,7.7
2019-04-01,12.9
2019-05-01,19.7
2019-06-01,22.6
2019-07-01,25.8
2019-08-01,27.2
2019-09-01,22.5
2019-10-01,16.2
2019-11-01,8.7
2019-12-01,2.6
2020-01-01,2.7
2020-02-01,3.6
2020-03-01,8.5
2020-04-01,11.5
2020-05-01,18.8
2020-06-01,24.1
2020-07-01,23.6
2020-08-01,27.5
2020-09-01,21.2
2020-10-01,14.2
